ccode	ccodealp	cname_qog	region	ht_colonial	br_dem	wdi_lifexp	wdi_gdpcappppcur
492	MCO	Monaco	Europe & Central Asia	0	1	NA	NA
496	MNG	Mongolia	East Asia & Pacific	0	1	71.8219985961914	12983.8037109375
498	MDA	Moldova	Europe & Central Asia	0	1	70.93499755859375	13580.1162109375
499	MNE	Montenegro	Europe & Central Asia	0	0	76.68292999267578	23075.0859375
504	MAR	Morocco	Middle East & North Africa	6	0	74.2699966430664	8564.4189453125
508	MOZ	Mozambique	Sub-Saharan Africa	7	0	61.16600036621094	1339.425537109375
512	OMN	Oman	Middle East & North Africa	5	0	78.00199890136719	35241.22265625
516	NAM	Namibia	Sub-Saharan Africa	5	0	63.07500076293945	10432.0283203125
520	NRU	Nauru	East Asia & Pacific	10	1	NA	12507.0927734375
524	NPL	Nepal	South Asia	0	1	69.55799865722656	4087.611083984375
528	NLD	Netherlands	Europe & Central Asia	0	1	82.11219787597656	59004.32421875
548	VUT	Vanuatu	East Asia & Pacific	9	1	69.87699890136719	3199.933837890625
554	NZL	New Zealand	East Asia & Pacific	0	1	81.70731353759766	45554.80859375
558	NIC	Nicaragua	Latin America & Caribbean	2	0	74.05400085449219	5574.7392578125
562	NER	Niger	Sub-Saharan Africa	6	1	62.89699935913086	1268.8277587890625
566	NGA	Nigeria	Sub-Saharan Africa	5	1	52.90999984741211	5290.6142578125
578	NOR	Norway	Europe & Central Asia	0	1	82.95853424072266	66799.1640625
583	FSM	Micronesia	East Asia & Pacific	4	1	71.0770034790039	3690.2197265625
584	MHL	Marshall Islands	East Asia & Pacific	4	1	NA	5885.39892578125
585	PLW	Palau	East Asia & Pacific	4	1	NA	18348.51171875
586	PAK	Pakistan (1971-)	South Asia	5	1	66.75599670410156	5375.21875
591	PAN	Panama	Latin America & Caribbean	2	1	77.80999755859375	32874.890625
598	PNG	Papua New Guinea	East Asia & Pacific	10	1	65.4739990234375	4114.4833984375
600	PRY	Paraguay	Latin America & Caribbean	2	1	73.621002197265625	14184.1162109375
604	PER	Peru	Latin America & Caribbean	2	1	76.15599822998047	13272.650390625
608	PHL	Philippines	East Asia & Pacific	4	1	71.86499786376953	9100.3857421875
616	POL	Poland	Europe & Central Asia	0	1	77.904876708984375	33728.39453125
620	PRT	Portugal	Europe & Central Asia	0	1	81.67561340332031	36172.07421875
624	GNB	Guinea-Bissau	Sub-Saharan Africa	7	1	60.88199996948242	1970.322265625
626	TLS	Timor-Leste	East Asia & Pacific	0	1	68.26799774169922	3895.548583984375
634	QAT	Qatar	Middle East & North Africa	5	0	80.98999786376953	94674.3125
642	ROU	Romania	Europe & Central Asia	0	1	75.60731506347656	32069.708984375
643	RUS	Russia	Europe & Central Asia	0	0	73.08390045166016	30067.740234375
646	RWA	Rwanda	Sub-Saharan Africa	8	0	66.43699645996094	2283.888916015625
659	KNA	St Kitts and Nevis	Latin America & Caribbean	5	1	NA	32511.298828125
662	LCA	St Lucia	Latin America & Caribbean	5	1	73.44499969482422	16113.3173828125
670	VCT	St Vincent and the Grenadines	Latin America & Caribbean	5	1	72.83499908447266	14788.841796875
674	SMR	San Marino	Europe & Central Asia	0	NA	NA	62611.49609375
678	STP	Sao Tome and Principe	Sub-Saharan Africa	7	1	68.52300262451172	4183.119140625
682	SAU	Saudi Arabia	Middle East & North Africa	0	0	77.30400085449219	46852.296875
686	SEN	Senegal	Sub-Saharan Africa	6	1	68.5260009765625	3575.26611328125
688	SRB	Serbia	NA	0	1	75.93658447265625	18819.890625
690	SYC	Seychelles	Sub-Saharan Africa	5	1	74.04634094238281	30609.056640625
694	SLE	Sierra Leone	Sub-Saharan Africa	5	1	60.255001068115234	1725.562744140625
702	SGP	Singapore	East Asia & Pacific	5	0	83.595123291015625	102431.3125
703	SVK	Slovakia	Europe & Central Asia	0	1	77.66585540771484	31966.5546875
704	VNM	Vietnam	East Asia & Pacific	6	0	74.09300231933594	10684.6865234375
705	SVN	Slovenia	Europe & Central Asia	0	1	81.529266357421875	40670.87890625
706	SOM	Somalia	Sub-Saharan Africa	3	0	57.077999114990234	1186.3267822265625
710	ZAF	South Africa	Sub-Saharan Africa	5	0	66.17500305175781	14436.8330078125
716	ZWE	Zimbabwe	Sub-Saharan Africa	5	0	61.29199981689453	2296.390380859375
724	ESP	Spain	Europe & Central Asia	0	1	83.83171081542969	41695.1484375
728	SSD	South Sudan	Sub-Saharan Africa	5	0	55.9119987487793	NA
729	SDN	Sudan (2012-)	Sub-Saharan Africa	5	0	65.8759994506836	4307.5673828125
740	SUR	Suriname	Latin America & Caribbean	1	1	72.24199676513672	19227.83984375
748	SWZ	Eswatini (former Swaziland)	Sub-Saharan Africa	5	0	60.54899978637695	8860.05859375
752	SWE	Sweden	Europe & Central Asia	0	1	83.10975646972656	54598.78125
756	CHE	Switzerland	Europe & Central Asia	0	1	83.904876708984375	72033.9296875
760	SYR	Syria	Middle East & North Africa	6	0	71.8219985961914	NA
762	TJK	Tajikistan	Europe & Central Asia	0	0	70.86699676513672	3726.1728515625
764	THA	Thailand	East Asia & Pacific	0	0	78.9749984741211	18763.509765625
768	TGO	Togo	Sub-Saharan Africa	6	0	60.9010009765625	2168.33203125
776	TON	Tonga	East Asia & Pacific	5	1	70.871002197265625	6612.0703125
780	TTO	Trinidad and Tobago	Latin America & Caribbean	5	1	74.227996826171875	26374.673828125
784	ARE	United Arab Emirates	Middle East & North Africa	5	0	79.72599792480469	74811.6875
788	TUN	Tunisia	Middle East & North Africa	6	1	75.99299621582031	11552.5673828125
792	TUR	Turkey	Europe & Central Asia	0	0	77.832000732421875	26813.0625
795	TKM	Turkmenistan	Europe & Central Asia	0	0	69.00199890136719	15625.3603515625
798	TUV	Tuvalu	East Asia & Pacific	5	1	64.27799987792969	5019.833984375
800	UGA	Uganda	Sub-Saharan Africa	5	0	62.99100112915039	2344.975830078125
804	UKR	Ukraine	Europe & Central Asia	0	1	71.82731628417969	13345.3828125
807	MKD	North Macedonia	Europe & Central Asia	0	1	76.6024398803711	17464.29296875
818	EGY	Egypt	Middle East & North Africa	5	0	71.358001708984375	11652.57421875
826	GBR	United Kingdom	Europe & Central Asia	0	1	81.20487976074219	49041.46484375
834	TZA	Tanzania	Sub-Saharan Africa	5	0	66.98899841308594	2686.455078125
840	USA	United States	North America	0	1	78.78780364990234	65094.80078125
854	BFA	Burkina Faso	Sub-Saharan Africa	6	0	60.03900146484375	2199.11669921875
858	URY	Uruguay	Latin America & Caribbean	2	1	77.50800323486328	24238.1328125
860	UZB	Uzbekistan	Europe & Central Asia	0	0	71.34400177001953	7658.2724609375
862	VEN	Venezuela	Latin America & Caribbean	2	0	72.16100311279297	NA
882	WSM	Samoa	East Asia & Pacific	5	0	72.15699768066406	6613.98291015625
887	YEM	Yemen	Middle East & North Africa	5	0	65.09200286865234	NA
894	ZMB	Zambia	Sub-Saharan Africa	5	1	62.792999267578125	3514.68798828125
