Coutnry_short,countrycode,Region,Unifed_party_code,Q10_PTV,Q13_left_right ,Q24_EU,Party_name_questionnaire,English name,Q7_EES,Q7,Q7n,Q2,Q2_EES,Q2n,Q9_Q25_EES,Q9,Q9n,q25,Q25n
,,,,,,,,,,,,,,,,,,,
IE,1372,,1,Q10_1,Q13_1,Q24_1,Fine Gael,Familiy of the Irish,1372520,1402,1,1401,1372520,1,1372520,1401,1,1403,1
IE,1372,,2,Q10_2,Q13_2,Q24_2,Labour Party,Labour Party,1372320,1403,2,1402,1372320,2,1372320,1402,2,1404,2
IE,1372,,3,Q10_3,Q13_3,Q24_3,Fianna Fáil ,Soldiers of Destiny,1372620,1401,3,1403,1372620,3,1372620,1403,3,1402,3
IE,1372,,4,Q10_4,Q13_4,Q24_4,Green Party,Green Party,1372110,1404,4,1404,1372110,4,1372110,1404,4,1405,4
IE,1372,,5,Q10_5,Q13_5,Q24_5,Sinn Féin,Ourselves Alone,1372951,1405,5,1405,1372951,5,1372951,1405,5,1406,5
IE,1372,,6,Q10_6,Q13_6,Q24_6,Solidarity - People Before Profit/ ,Solidarity - People Before Profit/ ,1372222,1406,6,1406,1372222,6,1372222,1407,6,1407,6
IE,1372,,,,,,Social Democrats,Social Democrats,20,1407,20,,,,20,1410,20,1408,20
IE,1372,,,,,,Independents 4 Change,Independents 4 Change,20,1408,20,,,,20,1409,20,,
IE,1372,,,,,,Independent,Independent,20,1409,20,,,,,,,,
IE,1372,,,,,,Socialist Party,Socialist Party,,,,,,,1372220,1406,20,,
IE,1372,,,,,,Independent,Independent,,,,,,,20,1411,20,,
IE,1372,,,,,,Independent Alliance,Independent Alliance,,,,,,,20,1408,20,,
,,,,,,,,,,,,,,,,,,,
IT,1380,,1,Q10_1,Q13_1,Q24_1,Partito Democratico (PD),Democratic Party,1380331,1501,1,1501,1380331,1,1380331,1501,1,1502,1
IT,1380,,2,Q10_2,Q13_2,Q24_2,Forza Italia (Fi),Go Italy,1380610,1502,2,1502,1380610,2,1380610,1506,2,1503,2
IT,1380,,3,Q10_3,Q13_3,Q24_3,Lega Salvini Premier ,Northern League,1380720,1503,3,1503,1380720,3,1380720,1507,3,1504,3
IT,1380,,4,Q10_4,Q13_4,Q24_4,Movimento 5 Stelle (MCS),Five Star Movement,1380956,1504,4,1504,1380956,4,1380956,1508,4,1505,4
IT,1380,,5,Q10_5,Q13_5,Q24_5,Sinistra,Italian Left,1380211,1505,5,1505,1380211,5,1380211,1502,5,1506,5
IT,1380,,6,Q10_6,Q13_6,Q24_6,"""+Europa""", More Europe (+Europa) ,1380421,1506,6,1506,1380421,6,1380421,1503,6,1507,6
IT,1380,,7,Q10_7,Q13_7,Q24_7,Fratelli d'Italia - Centrodestra Nazionale,Brothers of Italy - National Centre-right,1380631,1507,7,1507,1380631,7,1380631,1510,7,1508,7
IT,1380,,,,,,FEDERAZIONE DEI VERDI,Federation of the Greens ,1380101,1508,20,,,,1380101,,,1509,20
IT,1380,,,,,,Südtiroler Volkspartei (Partito popolare sudtirolese) (SVP),South Tyrol People's Party,1380958,1509,20,,,,1380958,1504,20,1510,20
IT,1380,,,,,,POPOLARI PER L'ITALIA,Populars for Italy,20,1510,20,,,,20,,,1511,20
IT,1380,,,,,,Partito Comunista,Communist Party ,20,1511,20,,,,20,,,1512,20
IT,1380,,,,,,Forza Nuova,New orice,20,1512,20,,,,20,,,1513,20
IT,1380,,,,,,Casa Pound,CasaPound Italy–United Right ,20,1513,20,,,,20,,,1514,20
IT,1380,,,,,,Noi con L'Italia (Udc)_, Us with Italy_UDC,,,,,,,20,1509,20,,
IT,1380,,,,,,Italia Europa Insieme, Italy Europe Together ,,,,,,,20,1505,20,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
LV,1428,,1,Q10_1,Q13_1,Q24_1,Nacion?l? apvien?ba “Visu Latvijai!”-“T?vzemei un Br?v?bai/LNNK”,For Fatherland and Freedom - National Independence Movement of Latvia,1428723,1611,1,1606,1428723,1,1428723,1604,1,1612,1
LV,1428,,2,Q10_2,Q13_2,Q24_2,Jaun? konservat?v? partija,New Conservative Party,1428630,1608,2,1603,1428630,2,1428630,1602,2,1609,2
LV,1428,,3,Q10_3,Q13_3,Q24_3,Att?st?bai/Par!,Development/For!,1428001,1609,3,1604,1428001,3,1428001,1610,3,1610,3
LV,1428,,4,Q10_4,Q13_4,Q24_4,Politisk? partija KPV LV,Who owns the state? ,1428956,1605,4,1602,1428956,4,1428956,1615,4,1606,4
LV,1428,,5,Q10_5,Q13_5,Q24_5,“Saska?a” soci?ldemokr?tisk? partija,"Social Democratic Party ""Harmony""",1428317,1610,5,1605,1428317,5,1428317,1609,5,1611,5
LV,1428,,6,Q10_6,Q13_6,Q24_6,Za?o un Zemnieku savien?ba,Green and Farmers' Union,1428110,1604,6,1601,1428110,6,1428110,1616,6,1605,6
LV,1428,,7,Q10_7,Q13_7,Q24_7,Jaun? Vienot?ba,Unity,1428610,1616,7,1607,1428610,7,1428610,1613,7,1614,7
LV,1428,,,,,,Latvijas Krievu savien?ba,Latvian Russian Union,1428901,1601,20,,,,1428901,1601,20,1602,20
LV,1428,,,,,,Latviešu nacion?listi,  Latvian Nationalists,20,1602,20,,,,20,1612,20,1603,20
LV,1428,,,,,,Latvijas Re?ionu apvien?ba,Latvian Association of Regions,1428902,1603,20,,,,1428902,1611,20,1604,20
LV,1428,,,,,,Progres?vie,Progressives,1428319,1606,20,,,,1428319,1605,20,1607,20
LV,1428,,,,,,Jaun? Saska?a,New Harmony,20,1607,20,,,,20,,,1608,20
LV,1428,,,,,,R?c?bas partija,  Action Party,20,1612,20,,,,20,1603,20,1616,20
LV,1428,,,,,,Atmoda,Awakening,20,1613,20,,,,20,1608,20,1615,20
LV,1428,,,,,,Centra partija,Center Party,20,1614,20,,,,,,,,
LV,1428,,,,,,Latvijas Soci?ldemokr?tisk? str?dnieku partija (LDSP),Latvian Social Democratic Workers' Party,20,1615,20,,,,20,1607,20,1613,20
LV,1428,,,,,,Latvijas centrisk? partija,Latvian Centrist Party ,20,,,,,,20,1606,20,,
LV,1428,,,,,,Par Alternat?vu ,For an Alterantive ,20,,,,,,20,1614,20,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
LT,1440,,1,Q10_1,Q13_1,Q24_1,T?vyn?s s?junga – Lietuvos krikš?ionys demokratai (TS-LKD),Homeland Union - Lithuanian Christian Democrats,1440620,1701,1,1707,1440620,1,1440620,1701,1,1708,1
LT,1440,,2,Q10_2,Q13_2,Q24_2,Lietuvos socialdemokrat? partija  (LSDP),Lithuanian Social Democratic Party,1440320,1703,2,1704,1440620,2,1440620,1703,2,1705,2
LT,1440,,3,Q10_3,Q13_3,Q24_3,Lietuvos Respublikos liberal? s?j?dis  (LS),Liberal Movement,1440421,1706,3,1703,1440421,3,1440421,1704,3,1704,3
LT,1440,,4,Q10_4,Q13_4,Q24_4,Darbo partija  (DP),Labour Party,1440322,1705,4,1701,1440322,4,1440322,1708,4,1702,4
LT,1440,,5,Q10_5,Q13_5,Q24_5,Partija “Tvarka ir teisingumas”  (TT),Order and Justice,1440621,1704,5,1706,1440621,5,1440621,1706,5,1707,5
LT,1440,,6,Q10_6,Q13_6,Q24_6,Lietuvos lenk? rinkim? akcija  - Krikš?ionišk? šeim? s?junga (LLRA),Election Action of Lithuania's Poles,1440952,1707,6,1702,1440952,6,1440952,1705,6,1703,6
LT,1440,,7,Q10_7,Q13_7,Q24_7,Lietuvos valstie?i? ir žali?j? s?junga (LVŽS),Lithuanian Peasant and Greens Union,1440524,1702,7,1705,1440524,7,1440524,1702,7,1706,7
LT,1440,,,,,,Lietuvos centro partija (LCP),Lithuanian Centre Party ,20,1708,20,,,,,1707,20,,20
LT,1440,,,,,,Lietuvos socialdemokrat? darbo partija (LSDDP),Social Democratic Labour Party of Lithuania,1440333,1709,20,,,,,,,,
LT,1440,,,,,,Lietuvos laisv?s s?junga (liberalai) (LLS),Lithuanian Freedom Union,20,1710,20,,,,20,1709,20,,20
LT,1440,,,,,,Lietuvos žali?j? partija (LŽP),Lithuanian Green Party,1440110,1711,20,,,,1440110,1710,20,,20
LT,1440,,,,,,"Visuomeninis rinkim? komitetas „Prezidento Rolando Pakso jud?jimas""","Public election committee ""Decisive Leap""",20,1712,20,,,,,,,,
LT,1440,,,,,,"Visuomeninis rinkim? komitetas „Aušros Maldeikien?s traukinys""","Public election committee ""Aušra Maldeikien?'s Train"" (VKM-AMT)",1440001,1713,20,,,,,,,,
LT,1440,,,,,,"Visuomeninis rinkim? komitetas „Vytautas Radžvilas: susigr?žinkime valstyb?!""","Public election committee ""Vytautas Radžvilas: Recover the State!""",20,1714,20,,,,,,,,
LT,1440,,,,,,"Visuomeninis rinkim? komitetas „Stipri Lietuva vieningoje Europoje""","Public election committee ""Strong Lithuania in United Europe""",20,1715,20,,,,,,,,
LT,1440,,,,,,"Visuomeninis rinkim? komitetas „Lemiamas šuolis""","Public election committee ""Decisive Leap""",20,1716,20,,,,,,,,
LT,1440,,,,,,"Politin? partija ""Lietuvos s?rašas""","Political Party ""Lithuanian List""",,,,,,,20,1711,20,,
LT,1440,,,,,,Lietuvos liaudies partija,Lithuanian People's Party,,,,,,,20,1712,20,,
LT,1440,,,,,,"S. Buškevi?iaus ir Tautinink? koalicija „Prieš korupcij? ir skurd?"" (Partija „Jaunoji Lietuva"", Tautinink? s",Anti-corruption coalition of Kristupas Krivickas and Naglis Puteikis,,,,,,,20,1713,20,,
LT,1440,,,,,,"""Dr?sos kelias"" politin? partija",The Way of Courage,,,,,,,20,1714,20,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
LU,1442,,1,Q10_1,Q13_1,Q24_1,Chrëschtlech Sozial Vollekspartei (CSV),Christian Social People's Party,1442520,1801,1,1801,1442520,1,1442520,1801,1,1805,1
LU,1442,,2,Q10_2,Q13_2,Q24_2,Lëtzebuerger Sozialistesch Aarbechterpartei (LSAP),Socialist Workers' Party,1442320,1802,2,1802,1442320,2,1442320,1802,2,1803,2
LU,1442,,3,Q10_3,Q13_3,Q24_3,Demokratesch Partei (DP),Democratic Party,1442420,1803,3,1803,1442420,3,1442420,1803,3,1804,3
LU,1442,,4,Q10_4,Q13_4,Q24_4,Déi Gréng,The Greens,1442113,1804,4,1804,1442113,4,1442113,1804,4,1802,4
LU,1442,,5,Q10_5,Q13_5,Q24_5,Déi Lénk (DL ),The Left,1442222,1805,5,1805,1442222,5,1442222,1807,5,1806,5
LU,1442,,6,Q10_6,Q13_6,Q24_6,Alternativ Demokratesch Reformpartei (ADR),Alternative Democratic Reform Party,1442951,1806,6,1806,1442951,6,1442951,1806,6,1807,6
LU,1442,,7,Q10_7,Q13_7,Q24_7,Piratepartei (PPL),Pirate Party of Luxembourg,1442901,1807,7,1807,1442901,7,1442901,1805,7,1808,7
LU,1442,,,,,,DK,The Left,20,1808,20,,,,20,1809,,,20
LU,1442,,,,,,VOLT,Volt Luxembourg ,20,1809,20,,,,,,,,
LU,1442,,,,,,Kommunistesch Partei Lëtzebuerg,Communist Party,,,,,,,20,1808,,,20
LU,1442,,,,,,DEMOKRATIE,Democracy ,,,,,,,20,1810,,,20
,,,,,,,,,,,,,,,,,,,
MT,1470,,1,Q10_1,Q13_1,Q24_1,Partit Laburista,Labour Party,1470300,1901,1,1901,1470300,1,1470300,1901,1,1902,1
MT,1470,,2,Q10_2,Q13_2,Q24_2,Partit Nazzjonalista,Nationalist Party,1470500,1902,2,1902,1470500,2,1470500,1902,2,1901,2
MT,1470,,3,Q10_3,Q13_3,Q24_3,Alternattiva Demokratika,Democratic Alternative,1470100,1903,3,1903,1470100,3,1470100,1904,3,1903,3
MT,1470,,4,Q10_4,Q13_4,Q24_4,Partit Demokratiku,  Democratic Party,1470401,1904,4,1904,1470401,4,20,,,1905,4
MT,1470,,5,Q10_5,Q13_5,Q24_5,Imperu Ewropew,  Imperium Europa ,1470951,1905,5,1905,1470951,5,20,,,1904,5
,,,,,,,Maltese Patriots Movement,,,,,,,,20,1903,,,
,,,,,,,,,,,,,,,,,,,
NL,1528,,1,Q10_1,Q13_1,Q24_1,VVD,People's Party for Freedom and Democracy,1528420,2001,1,2001,1528420,1,1528420,2001,1,2002,1
NL,1528,,2,Q10_2,Q13_2,Q24_2,PVV,Party of Freedom,1528600,2002,2,2002,1528600,2,1528600,2002,2,2003,2
NL,1528,,3,Q10_3,Q13_3,Q24_3,CDA,Christian Democratic Appeal,1528521,2003,3,2003,1528521,3,1528521,2003,3,2004,3
NL,1528,,4,Q10_4,Q13_4,Q24_4,D66,Democrats '66,1528330,2004,4,2004,1528330,4,1528330,2004,4,2005,4
NL,1528,,5,Q10_5,Q13_5,Q24_5,GroenLinks,Green Left,1528110,2005,5,2005,1528110,5,1528110,2005,5,2006,5
NL,1528,,6,Q10_6,Q13_6,Q24_6,SP,Socialist Party,1528220,2006,6,2006,1528220,6,1528220,2006,6,2007,6
NL,1528,,7,Q10_7,Q13_7,Q24_7,PvdA,Labour Party,1528320,2007,7,2007,1528320,7,1528320,2007,7,2008,7
NL,1528,,8,Q10_8,Q13_8,Q24_8, Christen Unie-SGP,Christian Union,1528528,2008,8,2008,1528528,8,1528526,2008,8,2009,8
NL,1528,,9,Q10_9,Q13_9,Q24_9,Forum voor Democratie,Forum for Democracy,1528661,2012,9,2009,1528661,9,1528661,2013,9,2014,9
NL,1528,,,,,,Partij voor de Dieren,Party for the Animals,1528951,2009,20,,,,1528951,2010,20,2011,20
NL,1528,,,,,,50Plus,50Plus,20,2010,20,,,,20,2011,20,2012,20
NL,1528,,,,,,Denk,Think ,20,2011,20,,,,20,2011,20,2013,20
NL,1528,,,,,,Volt Nederland,Volt Netherlands ,20,2013,20,,,,,,,,
NL,1528,,,,,,De Groenen,The Greens,20,2014,20,,,,,,,,
NL,1528,,,,,,vande Regio & Piratenpartij,Of the Region & Pirate Party,20,2015,20,,,,,,,`,
NL,1528,,,,,,Jezus Leeft,Jesus Lives ,20,2016,20,,,,,,,,
,,,,,,,SGP,Political Reformed Party,,,,,,,20,2009,20,2010,20
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
PL,1616,,1,Q10_1,Q13_1,Q24_1,Platforma Obywatelska (PO),Civic Platform,,,,2101,1616435,1,1616435,2101,1,2103,1
PL,1616,,2,Q10_2,Q13_2,Q24_2,Polskie Stronnictwo Ludowe (PSL),Polish People's Party,,,,2102,1616811,2,1616811,2102,2,2105,2
PL,1616,,3,Q10_3,Q13_3,Q24_3,Sojusz Lewicy Demokratycznej (SLD),Democratic Left Alliance,,,,2103,1616210,3,1616210,2103,3,2102,3
PL,1616,,4,Q10_4,Q13_4,Q24_4,Prawo i Sprawiedliwo?? (PIS),Law and Justice,1616436,2104,4,2104,1616436,4,1616436,2104,4,2107,4
PL,1616,,5,Q10_5,Q13_5,Q24_5,Kukiz'15,Kukiz'15,1616953,2106,5,2105,1616953,5,1616953,2105,5,2108,5
PL,1616,,6,Q10_6,Q13_6,Q24_6,Wiosna Roberta Biedronia,Spring,1616337,2102,6,2106,1616337,6,1616337,,,2109,6
PL,1616,,7,Q10_7,Q13_7,Q24_7,Razem,Poland Together,1616338,2105,7,2107,1616338,7,1616338,2107,7,2110,7
PL,1616,,8,"mean (Q10_1, Q10_2, Q10_3)","mean (Q13_1, Q13_2, Q13_3)","mean (Q24_1, Q24_2, Q24_3)",Koalicja Europejska PO PSL SLD .N Zieloni (KE ), European Coalition,1616001,2103,8,,,,,,,,
PL,1616,,,,,,Konfederacja Korwin Braun Liroy Narodowcy(KKBLN),Coalition for the Renewal of the Republic -- Liberty and Hope,1616737,2101,20,,,,1616737,2108,20,2106,20
PL,1616,,,,,,Polska Fair Play bezpartyjni Gwiazdowski(PFP),Poland Fair Play (PFP),20,2107,20,,,,,,,,
PL,1616,,,,,,Ruch Prawdziwa Europa - Europa Christi(EC),,20,2108,20,,,,,,,,
PL,1616,,,,,,Polexit-Koalicja(P-K),Coalition for the Renewal of the Republic -- Liberty and Hope,20,2109,20,,,,,,,,
PL,1616,,,,,,Nowoczesna Ryszarda Petru,Modern,1616435,,20,,,,1616435,2106,20,2104,20
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
PT,1620,,1,Q10_1,Q13_1,Q24_1,Partido Social Democrata  (PSD) ,Social Democratic Party,1620313,2202,1,2201,1620313,1,1620313,,,2203,1
PT,1620,,2,Q10_2,Q13_2,Q24_2,Centro Democrático e Social - Partido Popular (CDS-PP),Social Democratic Center-Popular Party,1620520,2204,2,2202,1620520,2,1620520,,,2206,2
PT,1620,,3,Q10_3,Q13_3,Q24_3,Partido Socialista (PS),Socialist Party,1620311,2201,3,2203,1620311,3,1620311,2202,3,2202,3
PT,1620,,4,Q10_4,Q13_4,Q24_4,Coligação Democrática Unitária (CDU) ,Unified Democratic Coalition,1620229,2203,4,2204,1620229,4,1620229,2204,4,,4
PT,1620,,5,Q10_5,Q13_5,Q24_5,Bloco de Esquerda (BE),Left Bloc,1620211,2206,5,2205,1620211,5,1620211,2203,5,2208,5
PT,1620,,6,Q10_6,Q13_6,Q24_6,"Pessoas, Animais, Natureza (PAN)",Party for Animals and Nature,1620122,2208,6,2206,1620122,6,1620122,2205,6,2210,6
PT,1620,,,,,,Partido da Terra (MPT),Earth Party,1620110,2205,20,,,,20,,,2207,20
PT,1620,,,,,,Partido Democrático Republicano (PDR),Republican Democratic Party,20,2207,20,,,,20,2206,20,2209,20
PT,1620,,,,,,Aliança,Alliance ,20,2209,20,,,,20,,,2211,20
PT,1620,,,,,,Coligação Portugal à Frente (Partido Social Democrata + Centro Democrático Social/Partido Popular),Coalition PSD (1620313) + CDS-PP (1620520),,,,,,,1620314,2201,20,,
PT,1620,,,,,,Partido Comunista dos Trabalhadores Portugueses/Movimento Reorganizativo do Partido do Proletariado (PCTP/MRPP),,,,,,,,20,2207,,,
PT,1620,,,,,,Partido Comunista Português (PCP),Portuguese Communist Party,,,,,,,1620229,,,2204,4
PT,1620,,,,,,Partido Ecologista os Verdes (PEV),Ecologist Party 'The Greens',,,,,,,1620229,,,2205,4
,,,,,,,,,,,,,,,,,,,
RO,1642,,1,Q10_1,Q13_1,Q24_1,Partidul Social Democrat (PSD),Social Democratic Party,1642300,2301,1,2301,1642300,1,1642300,2301,1,2302,1
RO,1642,,2,Q10_2,Q13_2,Q24_2,Uniunea Salva?i România  (USR) ,Save Romania Union,,,,2302,1642421,2,1642421,2303,2,2303,2
RO,1642,,3,Q10_3,Q13_3,Q24_3,Partidul Alian?a Liberalilor ?i Democra?ilor (ALDE),Alliance of Liberals and Democrats,1642402,2303,3,2303,1642402,3,1642402,2305,3,2305,3
RO,1642,,4,Q10_4,Q13_4,Q24_4,Partidul Pro România (PPR),PRO Romania,1642340,2305,4,2304,1642340,4,1642340,,,2306,4
RO,1642,,5,Q10_5,Q13_5,Q24_5,Partidul Na?ional Liberal (PNL),National Liberal Party,1642401,2306,5,2305,1642401,5,1642401,2302,5,2307,5
RO,1642,,6,Q10_6,Q13_6,Q24_6,Uniunea Democrat? Maghiar? din România (UDMR),Hungarian Democratic Alliance of Romania,1642900,2307,6,2306,1642900,6,1642900,2304,6,2308,6
RO,1642,,7,Q10_7,Q13_7,Q24_7,Partidul Mi?carea Popular? (PMP),People's Movement Party,1642503,2308,7,2307,1642503,7,1642503,2306,7,2309,7
RO,1642,,8,Q10_8,Q13_8,Q24_8, +PLUS,"PLUS+ Freedom, Unity and Solidarity Party",,,,2308,1642422,8,1642422,,,2304,8
RO,1642,,9,"mean (Q10_2, Q10_8)","mean (Q13_2, Q13_8)","mean (Q24_2, Q24_8)",Alian?a 2020 USR PLUS (2020 USR PLUS),2020 USR(1642421) -PLUS Alliance(1642422),1642001,2302,9,,,,,,,,
RO,1642,,,,,,Partidul Uniunea Na?ional? pentru Progresul României (UNPR),National Union for the Progress of Romania,20,2304,20,,,,20,20,,2313,20
RO,1642,,,,,,Partidul România Mare (PRM),Greater Romania Party,1642700,2309,20,,,,1642700,2308,,2310,20
RO,1642,,,,,,Partidul România Unit? (PRU),United Romania Party,20,2310,20,,,,20,2307,,2311,20
RO,1642,,,,,,Partidul Democra?iei ?i Solidarit??ii – Demos (Demos),Demos,20,2311,20,,,,20,20,,2312,20
,,,,,,,,,,,,,,,,,,,
SI,1705,,1,Q10_1,Q13_1,Q24_1,Slovenska demokratska stranka in Slovenska ljudska stranka (SDS in SLS),Electoral alliance with Slovenian Democratic Party and Slovenian People's Party ,1705010,2401,1,2401,1705010,1,1705010,,,,
SI,1705,,2,Q10_2,Q13_2,Q24_2,Lista Marjana Šarca (LMŠ),List of Marjan Sarec,1705353,2402,2,2402,1705353,2,1705353,2402,2,2403,2
SI,1705,,3,Q10_3,Q13_3,Q24_3,Socialni demokrati (SD),Social Democratic Party,1705323,2403,3,2403,1705323,3,1705323,2403,3,2404,3
SI,1705,,4,Q10_4,Q13_4,Q24_4,Nova Slovenija - krš?anski demokrati  (NSi),New Slovene Christian People's Party,1705522,2404,4,2404,1705522,4,1705522,2406,4,2405,4
SI,1705,,5,Q10_5,Q13_5,Q24_5,Levica,The Left ,1705221,2405,5,2405,1705221,5,1705221,2405,5,2406,5
SI,1705,,6,Q10_6,Q13_6,Q24_6,Slovenska nacionalna stranka (SNS),Slovenian National Party,1705710,2406,6,2406,1705710,6,1705710,2409,6,2407,6
SI,1705,,7,Q10_7,Q13_7,Q24_7,Stranka modernega centra (SMC),  Party of Miro Cerar ,1705460,2407,7,2407,1705460,7,1705460,2404,7,2408,7
SI,1705,,8,Q10_8,Q13_8,Q24_8,Stranka Alenke Bratušek (SAB),Alliance of Alenka Bratusek,1705480,2408,8,2408,1705480,8,1705480,2407,8,2409,8
SI,1705,,9,Q10_9,Q13_9,Q24_9,Demokrati?na stranka upokojencev Slovenije (DESUS),Democratic Party of Pensioners of Slovenia,1705951,2409,9,2409,1705951,9,1705951,2408,9,2410,9
SI,1705,,10,,,,Slovenska ljudska stranka (SLS),Slovenian People's Party,,,,,,,1705324,2410,1,2411,1
SI,1705,,,,,,Slovenska demokratska stranka (SDS),Slovenian Democratic Party,,,,,,,1705320,2401,1,2402,1
SI,1705,,11,,,,Piratska stranka Slovenije,Slovenian Pirate Party,,,,,,,20,2411,20,2413,20
SI,1705,,,,,,Dom - domovinska liga (DOM),Patriotic League ,,2410,20,,,,20,2413,20,2414,20
SI,1705,,,,,,Zeleni Slovenije,Greens of Slovenia,20,2411,20,,,,20,,,2415,20
SI,1705,,,,,,Povežimo se,Connect,20,2412,20,,,,20,,,2416,20
SI,1705,,,,,,Dobra država (DD),Good Country,,,,,,,20,2412,20,2412,20
,,,,,,,,,,,,,,,,,,,
SK,1703,,1,Q10_1,Q13_1,Q24_1,Kres?anskodemokratické hnutie  (KDH),Christian Democratic Movement,1703521,2510,1,2501,1703521,1,1703521,2506,1,2502,1
SK,1703,,2,Q10_2,Q13_2,Q24_2,?udová strana- Naše Slovensko (?SNS),People's Party Our Slovakia,1703957,2501,2,2502,1703957,2,1703957,2507,2,2503,2
SK,1703,,3,Q10_3,Q13_3,Q24_3,Sme rodina,We are family ,1703721,2509,3,2503,1703721,3,1703721,2502,3,2504,3
SK,1703,,4,Q10_4,Q13_4,Q24_4,Smer–sociálna demokracia  (Smer-SD),Direction - Social Democracy,1703423,2503,4,2504,1703423,4,1703423,2509,4,2505,4
SK,1703,,5,Q10_5,Q13_5,Q24_5,Sloboda a Solidarita (SaS),Freedom and Solidarity,1703440,2505,5,2505,1703440,5,1703440,2505,5,2506,5
SK,1703,,6,Q10_6,Q13_6,Q24_6,Oby?ajní ?udia a nezávislé osobnosti  (O?aNO),Ordinary People and Independent Personalities,1703620,2506,6,2506,1703620,6,1703620,2501,6,2507,6
SK,1703,,7,Q10_7,Q13_7,Q24_7,Progresívne Slovensko a SPOLU ,Electoral alliance Progressive Slovakia and TOGETHER – Civic Democracy ,1703470,2508,7,2507,1703470,7,1703470,,7,2508,7
SK,1703,,8,Q10_8,Q13_8,Q24_8,Slovenská národná strana (SNS),Slovak National Part,1703710,2504,8,2508,1703710,8,1703710,2504,8,2509,8
SK,1703,,9,Q10_9,Q13_9,Q24_9,Most–Híd,Bridge,1703955,2507,9,2509,1703955,9,1703955,2503,9,2510,9
SK,1703,,,,,,Strana mad'arskej koalície - Magyar Koalíció Pártja (SMK–MKP),Party of the Hungarian Community,1703954,2502,20,,,,20,210,,,
SK,1703,,,,,,Komunistická strana Slovenska (KSS),Communist Party of Slovakia,1703222,2511,20,,,,,,,,
SK,1703,,,,,,#SIE?,Network,,,,,,,20,2508,20,,
,,,,,,,,,,,,,,,,,,,
ES,1724,,1,Q10_1,Q13_1,Q24_1,Partido Socialista Obrero Español (PSOE),Spanish Socialist Workers' Party,1724320,2601,1,2601,1724320,1,1724320,2601,1,2602,1
ES,1724,,2,Q10_2,Q13_2,Q24_2,Partido Popular (PP),Popular Party,1724610,2602,2,2602,1724610,2,1724610,2602,2,2603,2
ES,1724,,3,Q10_3,Q13_3,Q24_3,Unidas Podemos (UP),Podemos (We Can),1724230,2603,3,2603,1724230,3,1724230,2604,3,2605,3
ES,1724,,4,Q10_4,Q13_4,Q24_4,Ciudadanos,Citizens - Party of the Citizenry,1724410,2604,4,2604,1724410,4,1724410,2603,4,2604,4
ES,1724,,5,Q10_5,Q13_5,Q24_5,VOX,Voice,1724955,2605,5,2605,1724955,5,1724955,2605,5,2607,5
ES,1724,,6,Q10_6,Q13_6,Q24_6,Ahora Repúblicas (Esquerra Republicana de Catalunya y otros),Republican Left of Catalonia ,1724905,2606,6,2606,1724905,6,1724905,2606,6,2608,6
ES,1724,,7,Q10_7,Q13_7,Q24_7,Compromís per Europa/Compromiso por Europa,Commitment to Europe ,1724010,2609,7,2607,1724010,7,1724010,2610,7,2612,7
ES,1724,,,,,,Junts,Together for Catalonia,20,2608,20,,,,20,2608,,2610,20
ES,1724,,,,,,Coalición por una Europa Solidaria,Coalition for a Solidary Europe,20,2607,20,,,,,,,,
ES,1724,,,,,,Partido Animalista contra el Maltrato Animal (PACMA),Animalist Party Against Mistreatment to Animals,20,2610,20,,,,20,2611,20,2613,20
ES,1724,,,,,,Partido Nacionalista Vasco–Euzko Alderdi Jeltzalea,Basque Nationalist Party,,,,,,,20,2607,20,2609,20
ES,1724,,,,,,EH Bildu,Basque Country Unite,,,,,,,20,2609,6,2611,6
ES,1724,,,,,,Coalición Canaria,Canarian Coalition,,,,,,,20,2612,20,2614,20
ES,1724,,,,,,Navarra Suma,Sum Navarre,,,,,,,20,2613,20,2615,
ES,1724,,,,,,Izquierda Unida,United Left,,,,,,,20,,,2606,
,,,,,,,,,,,,,,,,,,,
SE,1752,,1,Q10_1,Q13_1,Q24_1,Socialdemokraterna (S),Social Democratic Labour Party,1752320,2702,1,2701,1752700,1,1752700,2702,1,2703,1
SE,1752,,2,Q10_2,Q13_2,Q24_2,Moderaterna (M),Moderate Coalition Party,1752620,2705,2,2702,1752620,2,1752620,2705,2,2706,2
SE,1752,,3,Q10_3,Q13_3,Q24_3,Miljöpartiet de gröna (MP),Green Ecology Party,1752110,2707,3,2703,1752110,3,1752110,2707,3,2708,3
SE,1752,,4,Q10_4,Q13_4,Q24_4,Liberalerna (L),Liberal People's Party,1752420,2704,4,2704,1752420,4,1752420,2704,4,2705,4
SE,1752,,5,Q10_5,Q13_5,Q24_5,Centerpartiet (C),Centre Party,1752810,2703,5,2705,1752810,5,1752810,2703,5,2704,5
SE,1752,,6,Q10_6,Q13_6,Q24_6,Sverigedemokraterna(SD),Sweden Democrats,1752700,2708,6,2706,1752700,6,1752700,2708,6,2709,6
