Coutnry_short,countrycode,Region,Unifed_party_code,Q10_PTV,Q13_left_right ,Q24_EU,Party_name_questionnaire,English name,Q7_EES,Q7,Q7n,Q2,Q2_EES,Q2n,Q9_Q25_EES,Q9,Q9n,q25,Q25n
HR,1119,,2,Q10_2,Q13_2,Q24_2,Hrvatska demokratska zajednica (HDZ),Croation Democratic Union,1191511,404,2,402,1191511,2,1191511,402,2,402,2
HR,1119,,3,Q10_3,Q13_3,Q24_3,Živi zid,Human Shield ,1191951,414,3,403,1191951,3,1191951,409,3,411,3
HR,1119,,4,Q10_4,Q13_4,Q24_4,Amsterdamska koalicija ,Coaltion of  HSS (1191810) + GRA?ANSKO-LIBERALNI SAVEZ - GLAS +IDS (1191953),1191810,405,4,404,1191810,4,1191810,,4,403,4
HR,1119,,5,Q10_5,Q13_5,Q24_5,MOST,Bridge of Independent Lists,1191601,406,5,405,1191601,5,1191601,407,5,410,5
HR,1119,,6,Q10_6,Q13_6,Q24_6,START,"Party of Anti-corruption, Development and Transparency",1191901,413,6,406,1191901,6,1191901,,6,412,6
HR,1119,,7,Q10_7,Q13_7,Q24_7,Bandi? Milan 365,Milan Bandic 365 -- The Party of Labour and Solidarity,1191330,401,7,407,1191330,7,1191330,401,7,407,7
HR,1119,,,,,,BRUNA ESIH - ZLATKO HASANBEGOVIC?: NEOVISNI ZA HRVATSKU + HRVATSKA STRANKA PRAVA,Coaltion of NHR (1191714) and HSP(1191713),1191011,402,20,,,,1191714,404,99,413,20
HR,1119,,,,,,HRAST - POKRET ZA USPJES?NU HRVATSKU + HRVATSKA KONZERVATIVNA STRANKA - HKS + HRVATSKA STRANKA PRAVA DR. ANTE STARC?EV,Croatian Growth,1191952,403,20,,,,1191952,,,414,20
HR,1119,,,,,,MOZ?EMO! - POLITIC?KA PLATFORMA+ NOVA LJEVICA + ODRZ?IVI RAZVOJ HRVATSKE – OraH (Možemo + NL + ORaH),MOZ?EMO,1191014,407,20,,,,1191014,,,416,20
HR,1119,,,,,,NEZAVISNA LISTA MARIJANA PETIR,Independent,20,408,20,,,,,,,,20
HR,1119,,,,,,NEZAVISNA LISTA MISLAV KOLAKUŠI?,Independent,11910021,409,20,,,,,,,,20
HR,1119,,,,,,PAMETNO + UNIJA KVARNERA,,20,410,20,,,,20,,,415,20
HR,1119,,,,,,SAMOSTALNA DEMOKRATSKA SRPSKA STRANKA (SDSS),Independent Democratic Serbian Party,20,411,20,,,,20,,,406,20
HR,1119,,,,,,Hrvatski demokratski savez Slavonije i Barabnje (HDSSB),Croatian Democratic Assembly of Slavonia and Baranja,,,,,,,1191952,403,99,,
HR,1119,,,,,,Hrvatska stranka prava Ante Star?evi? (HSP AS) i koalicijski partneri,Croatian Party of Rights -- Dr. Ante Starcevic,,,,,,,1191613,405,99,,
HR,1119,,,,,,Istarski demokratski sabor (IDS) i koalicijski partneri,Istrian Democratic Assembly,,,,,,,1191953,406,99,408,20
HR,1119,,,,,,Hrvatska konzervativna stranka (HKS),Croatian Conservative Party,,,,,,,20,,,419,20
HR,1119,,,,,,Hrvatska narodna stranka (HNS),Croation People's Party,,,,,,,1191412,,,405,20
HR,1119,,,,,,Hrvatska socijalno liberalna stranka (HSLS),Croatian Social-Liberal Party,,,,,,,1191410,,,409,20
HR,1119,,,,,,Glas,,,,,,,,20,,,417,20
HR,1119,,,,,,Reformisti,Reformists,,,,,,,,,,418,20
,,,,,,,,,,,,,,,,,,,
CY,1196,,1,Q10_1,Q13_1,Q24_1,"???? (?????????? ????? ??????????? ???? – ????????, ???? ????????)",Progressive Party of the Working People,1196321,501,1,501,1196321,1,1196321,501,1,502,1
CY,1196,,2,Q10_2,Q13_2,Q24_2,???? (???????????? ??????????),Democratic Rally,1196711,502,2,502,1196711,2,1196711,502,2,503,2
CY,1196,,3,Q10_3,Q13_3,Q24_3,???? (??????????? ?????),Democratic Party,1196422,503,3,503,1196422,3,1196422,503,3,504,3
CY,1196,,4,Q10_4,Q13_4,Q24_4,???? (?????? ???????????????? ????),United Democratic Union of Centre,1196423,504,4,504,1196423,4,1196423,504,4,505,4
CY,1196,,5,Q10_5,Q13_5,Q24_5, ?????? ?????????,Ecological and Environmental Movement (Cyprus Green Party),,,,505,1196110,5,1196110,507,5,511,5
CY,1196,,6,Q10_6,Q13_6,Q24_6, ????,National Popular Front,1196951,507,6,506,1196951,6,1196951,505,6,507,6
CY,1196,,7,,Q13_7,Q24_7,???????? ???????,Citizens' Alliance,,,,,,,1196341,508,7,,
CY,1196,,8,,Q13_8,,???? (??????????? ????????),Democratic Alignment ,1196442,506,8,507,1196442,8,1196442,,,506,8
CY,1196,,9,,"mean(Q13_5, Q13_7)","mean(Q24_5, Q24_7)",???????? ???????-?????????, Electoral alliance: Citizens's Alliance (1196002) and Ecological and Environmental Movement (1196110),1196010,505,9,,,,,,,,
CY,1196,,,,,,???????,Yasemin Hareketi ,20,508,20,,,,,,,,
CY,1196,,,,,, ??????????,Solidarity Movement,20,,,,,,20,506,20,508,
CY,1196,,,,,,?????????? ??????,The Patriotic Movement,20,509,20,,,,,,,,
CY,1196,,,,,,??? (??????????? ?????????????? ??????),,20,510,20,,,,,,,,
CY,1196,,,,,,??? (???????? ????????? ???????????),,20,511,20,,,,,,,,
CY,1196,,,,,,????? ??? ?? ???,Animal Party Cyprus,20,512,20,,,,20,509,20,,
,,,,,,,,,,,,,,,,,,,
CZ,1203,,1,Q10_1,Q13_1,Q24_1,K?es?anská a demokratická unie - ?eskoslovenská strana lidová  (KDU/CSL),Christian and Democratic Union / Czechoslovak People's Party,1203523,601,1,601,1203523,1,1203523,601,1,602,1
CZ,1203,,2,Q10_2,Q13_2,Q24_2,?eská strana sociáln? demokratická  (CSSD),Czech Social Democratic Party,1203320,603,2,602,1203320,2,1203320,603,2,604,2
CZ,1203,,3,Q10_3,Q13_3,Q24_3,Ob?anská demokratická strana  (ODS),Civic Democratic Party,1203413,604,3,603,1203413,3,1203413,604,3,605,3
CZ,1203,,4,Q10_4,Q13_4,Q24_4,Komunistická strana Cech a Moravy  (KSCM),Communist Party of Bohemia and Moravia,1203220,605,4,604,1203220,4,1203220,605,4,606,4
CZ,1203,,5,Q10_5,Q13_5,Q24_5,ANO2011 (ANO),ANO 2011,1203423,606,5,605,1203423,5,1203423,606,5,607,5
