respid	cps21_province	cps21_weight_general_restricted	ban_abortion	age	female	urban	religion	education
"R_26kDXw1HeyIskVC"	"Quebec"	.4317231	0	46	1	0	"Very important"	"BA"
"R_26kF0QOChavZFZV"	"New Brunswick"	.5847288	0	73	1	0		"College"
"R_26kYjv4CmyltC27"	"Ontario"	.4029644	0	72	0	0	"Somewhat important"	"BA"
"R_26kwjzKPCe0tMr9"	"Prince Edward Island"	.7947357		35	1		"Very important"	"BA"
"R_26l2SW7tnJr0D3K"	"Quebec"	.8959352	1	45	1	0		"Some PS"
"R_26l2jj0gmBoPPlW"	"Ontario"	2.931279	0	41	1	1		"Less than HS"
"R_26lHzvYYlvatEuP"	"Ontario"	1.299434		50	0			"College"
"R_26lot3wK49SsOM4"	"Alberta"	.6993046	0	40	0	1		"MA+"
"R_26m3sGUrW4ZMULS"	"Quebec"	.4317231	0	41	1	1	"Not very important"	"Some PS"
"R_26mOitZLPLlwkf0"	"Ontario"	.4920129	0	63	1	1		"MA+"
"R_26nDlNbZynym0Cg"	"Quebec"	.8428035	0	55	0	1	"Not very important"	"Some PS"
"R_26naN4h7GIr59ma"	"Ontario"	.6656307	1	39	1	1	"Very important"	"MA+"
"R_26ny2O9d7AMqd9D"	"Ontario"	.6261567	1	51	0	1	"Not important at all"	"Some PS"
"R_26ny6Jhbqd0J9my"	"New Brunswick"	.358583	0	69	0	0	"Not important at all"	"BA"
"R_270XTs4xy4iTDb1"	"Alberta"	.6903424	0	79	0	1	"Somewhat important"	"College"
"R_270Yy63kOMkbQPg"	"British Columbia"	3.01649		58	0		"Not important at all"	"HS"
"R_270ZVG2GdQWhvGa"	"Quebec"	1.788458		58	0			"HS"
"R_271AFQzJpepBowa"	"Alberta"	1.140332	0	44	1	1	"Very important"	"College"
"R_271GkyAeaio1GLH"	"Ontario"	.3166359	1	66	1	1	"Not important at all"	"BA"
"R_271mS8Iz523Gnli"	"British Columbia"	.4408205	0	73	0	0	"Not very important"	"MA+"
"R_271o8ccDki2hYJK"	"Ontario"	1.683217	0	20	1	1		"Some PS"
"R_27221xfSHZg6ZHi"	"Alberta"	.5424478		68	1		"Very important"	"College"
"R_2724FEXLCo3BaEK"	"Quebec"	.8428035	0	51	0	1		"Some PS"
"R_2724Fe215hZ3Ezf"	"Quebec"	.3191158	0	59	1	0	"Somewhat important"	"BA"
"R_27294RWkfoBEgzF"	"Alberta"	.5169035		56	0		"Somewhat important"	"Some PS"
"R_272I5MphyI66LMq"	"Quebec"	.6622466	0	55	1	0	"Somewhat important"	"College"
"R_272LF0k3NBXYy0G"	"Quebec"	2.316672	1	27	1		"Not important at all"	"HS"
"R_272Okl11NRKQbdG"	"Quebec"	.3191158	0	62	1	1		"BA"
"R_272qwpHM3LdoIeH"	"Ontario"	.4029644	0	73	0	1		"BA"
"R_272y1B3CGzhKxQx"	"Ontario"	.3166359	0	72	1	1	"Very important"	"BA"
"R_273RaBs4nAVNC5F"	"Quebec"	.4317231		45	1		"Not important at all"	"MA+"
"R_273TsO6GTehshvo"	"Alberta"	.5169035	1	61	0	1	"Somewhat important"	"Some PS"
"R_273eGvgAeffJylD"	"British Columbia"	.8872862	0	31	1	1		"BA"
"R_273i4I2YxP4CTye"	"Manitoba"	.3885599	0	56	1	1	"Somewhat important"	"BA"
"R_274pH7TCgmktm70"	"Quebec"	1.901206		47	1		"Very important"	"HS"
"R_276WdEjw0tl1RvE"	"New Brunswick"	2.608436	1	44	1	1		"HS"
"R_276Wk8KPcr3LX5b"	"Ontario"	3.244403	0	81	0	1		"College"
"R_277575ElTVdQTmi"	"Ontario"	.8110893	0	29	1	1	"Somewhat important"	"BA"
"R_277EzgIlX9DoMZr"	"Quebec"	.5494294	1	37	0	0		"MA+"
"R_277OzSJ3ZDpml4H"	"Ontario"	2.931279	0	36	1	0		"HS"
"R_277is3V8qOrXoMU"	"Ontario"	.8110893	1	25	1	1	"Very important"	"BA"
"R_277lcg1IVFoO16q"	"New Brunswick"	1.928072		58	1			"HS"
"R_277lch39JYH1kOc"	"Ontario"	.6656307	0	38	1	1	"Not very important"	"BA"
"R_277lhblDH6E82R4"	"Ontario"	1.455902	0	18		0		"HS"
"R_2784oLpEDhsozRs"	"Ontario"	.3166359	0	72	1	1		"MA+"
"R_2786sJXO85ZbhkG"	"Manitoba"	1.329296		34	1			"College"
"R_2787zB9AICad8g9"	"Nova Scotia"	2.504296	0	63	0	0	"Not very important"	"HS"
"R_278LuCTzopTSsOE"	"Quebec"	.2053677	0	65	1	1		"BA"
"R_278X5CVBGGMY9bl"	"Ontario"	1.021052	0	51	1	1		"College"
"R_278YNQsUlBkrDdq"	"Ontario"	.8110893	1	19	1	1	"Very important"	"Some PS"
"R_279ADhqRGhLQp52"	"Quebec"	.9043904	0	74	1	1	"Not very important"	"HS"
"R_279J6VMyDVA4kil"	"Quebec"	.5423879	0	73	0	1	"Very important"	"College"
"R_279TJetwisoVNmc"	"Quebec"	1.901206		44	1		"Not important at all"	"HS"
"R_279Yh6DdyHHvci0"	"New Brunswick"	.5571935	0	59	0	1	"Not very important"	"BA"
"R_279lwlvOhwfWcmx"	"Ontario"	.8110893	0	24	1	1	"Somewhat important"	"BA"
"R_27B7BdyvZgMEV3O"	"Alberta"	.6695687	0	34	1	1		"BA"
"R_27B8tpvwiLBSzYJ"	"Ontario"	1.021052		56	1		"Somewhat important"	"College"
"R_27BEZqXMQNwdzoF"	"Ontario"	.8110893	0	19	1	0		"Some PS"
"R_27Bel4d4o04PgyQ"	"Ontario"	.8110893	1	29	1	1		"BA"
"R_27BiUF0B8M6efFW"	"Manitoba"	1.711125		64	1		"Very important"	"HS"
"R_27BwgtpsYKif9PA"	"British Columbia"	2.370257	0	59	1	1		"HS"
"R_27Bz0Y5tppJsZbh"	"Ontario"	.8110893	0	28	1	1		"MA+"
"R_27CHmqI9Ki08ghn"	"Ontario"	1.757969	0	49	0	0	"Somewhat important"	"Some PS"
"R_27CIt2iIET3UDNs"	"British Columbia"	1.710246	0	80	0	1	"Somewhat important"	"BA"
"R_27CZ8TeZftB8eBD"	"Quebec"	.3191158	0	59	1	1	"Not important at all"	"BA"
"R_27CfEngsHakwDYW"	"Ontario"	.8362538	0	68	0	0	"Not very important"	"College"
"R_27DaQdxFwMFlRMW"	"British Columbia"	.8872862	1	32	1	1		"BA"
"R_27Dv7U6em2OFEBS"	"Quebec"	.2613597	0	68	0	1	"Not important at all"	"BA"
"R_27EhCmAnVuFf6dQ"	"Quebec"	.4061206	0	64	0	1	"Not very important"	"BA"
"R_27HFWcqrdHtRLXc"	"Ontario"	1.563376	1	81	0	1	"Very important"	"BA"
"R_27HGix0pqeN3n32"	"Ontario"	.8110893		31	1		"Very important"	"BA"
"R_27HToDmZLckjWeV"	"Ontario"	3.571844		30	1		"Somewhat important"	"HS"
"R_27HhmdXpyiuVcvN"	"Ontario"	.8471103	0	35	0	1	"Very important"	"BA"
"R_27I0T4zTttit46h"	"Quebec"	.2613597	0	66	0	1		"Some PS"
"R_27IQXt9ZzxniABR"	"British Columbia"	1.116974		60	1		"Not important at all"	"Some PS"
"R_27Il026pxoLzZIs"	"Quebec"	.4061206	0	51	0	1	"Not important at all"	"BA"
"R_27J6cJox3Z3GVKX"	"Saskatchewan"	3.100303	1	58	0	0	"Not important at all"	"HS"
"R_27JAZpgf1cb574F"	"Ontario"	1.683217		23	1			"Some PS"
"R_27JNAPmWR69M1HN"	"Ontario"	.4029644	1	67	0	1	"Very important"	"BA"
"R_27JbDhI761v6zUE"	"Ontario"	.6261567		60	0		"Somewhat important"	"MA+"
"R_27Js6xeuiDoWdR6"	"Ontario"	.8471103	0	43	0	1	"Somewhat important"	"BA"
"R_27Jy2Rv3dizJXu1"	"British Columbia"	.7281626	0	37	1	1	"Somewhat important"	"BA"
"R_27KBgD7voFC3pXj"	"Quebec"	.9043904		65	1		"Not very important"	"HS"
"R_27KE6OLc0Ejcqin"	"Alberta"	.6993046	1	46	0	1	"Very important"	"MA+"
"R_27KK32XSq0r52XM"	"Quebec"	.6622466	0	63	1	1		"College"
"R_27KnlMQTYh8Pp2M"	"Quebec"	1.389372	0	27	0	0		"College"
"R_27Knm9CGuIPRGli"	"Quebec"	.8428035	0	60	0	0	"Not very important"	"College"
"R_27NAkbEG2x5W0DU"	"Manitoba"	.6405458	0	28	1	1		"BA"
"R_27NBm545RVVc7c0"	"Alberta"	2.948621		18	1		"Very important"	"HS"
"R_27NECMH1VSzLKXX"	"Ontario"	.4029644	0	77	0	1	"Not very important"	"BA"
"R_27NFI4m33M2tJPk"	"British Columbia"	1.92312	1	45	0	0	"Very important"	"College"
"R_27O50QE5lVAE7dQ"	"Alberta"	3.752542	0	27	0	1		"HS"
"R_27O7OSEydQ67Xm7"	"Nova Scotia"	.568672	1	63	0	0	"Very important"	"BA"
"R_27O7foduPRwP4Yf"	"Saskatchewan"	.4530686	0	72	0	1	"Somewhat important"	"BA"
"R_27OLBsYaPzqdEWs"	"Quebec"	.3191158	1	53	1	0	"Not very important"	"BA"
"R_27OR7S7SJxjiHtf"	"Alberta"	2.27632	0	61	0	0	"Somewhat important"	"HS"
"R_27OUdJLfpVOhzuu"	"Quebec"	.3191158	0	55	1	1	"Not very important"	"MA+"
"R_27OkJWflBvod59e"	"Ontario"	.8471103		39	0		"Very important"	"BA"
"R_27OnF6voqLl0q8N"	"Ontario"	.4920129		54	1		"Not important at all"	"Some PS"
"R_27PWmtjTCEA1lau"	"Alberta"	.2613886	0	75	1	1	"Not important at all"	"MA+"
"R_27PZu0rsL9snDoz"	"Alberta"	.3326543	0	72	0	1		"BA"
"R_27Q0DzDRtBk6eKL"	"Manitoba"	.6405458		33	1			"Some PS"
"R_27QA8J8imdwV3JB"	"Alberta"	1.451235	1	47	0	0	"Very important"	"College"
"R_27QctgfPzq35K0R"	"Manitoba"	1.090903	0	42	1	1	"Somewhat important"	"College"
"R_27TZP9hoTKVMDES"	"Quebec"	.9043904		71	1		"Somewhat important"	"HS"
"R_27TZWc0wXQI48BV"	"Ontario"	.8362538	1	67	0	1	"Not very important"	"College"
"R_27ThWGFvFIV186B"	"Quebec"	.2613597	1	74	0	1	"Somewhat important"	"BA"
"R_27To9K2A7lQDBV0"	"Ontario"	1.299434	0	60	0	0	"Somewhat important"	"Some PS"
"R_27U3oYKCBFl12ts"	"Ontario"	1.394389	0	75	1	0	"Not very important"	"HS"
"R_27U9ez9g00zBry3"	"Alberta"	.3326543	1	69	0	1	"Very important"	"BA"
"R_27UKQB1Bo7iCIaU"	"Quebec"	.6622466		63	1		"Not very important"	"Some PS"
"R_27UQIzAQc7pmjXt"	"Ontario"	.4920129	1	56	1	1	"Somewhat important"	"BA"
"R_27Uq616dYZt476n"	"British Columbia"	.8872862		30	1		"Very important"	"BA"
"R_27UqFdIX3r7TDne"	"Ontario"	.6261567	0	54	0	1	"Not very important"	"Some PS"
"R_27UuB0oYtbYPlw2"	"Quebec"	1.389372	0	20	0	1		"College"
"R_27Uwz43fwpv2xWc"	"Ontario"	.4029644	1	70	0	1	"Very important"	"BA"
"R_27VRItweYNf7Uzj"	"New Brunswick"	.7441509	0	72	0	0	"Somewhat important"	"College"
"R_27VfRGW1brg60XA"	"Quebec"	.5494294	0	45	0	1		"Some PS"
"R_27VgQT7mAO55xO2"	"Alberta"	.3326543	0	77	0	1		"BA"
"R_27ViNQPymvsJhWF"	"Quebec"	1.40531	0	60	1	0		"HS"
"R_27W0BE546xnute3"	"Quebec"	.2613597	0	66	0	0	"Not very important"	"Some PS"
"R_27WEqfeEdO0YLrA"	"Quebec"	1.091722		21	1		"Very important"	"College"
"R_27WNal1x76SVDMB"	"Ontario"	1.683217	1	27	1	1		"College"
"R_27WflBxP8bkQ8Mq"	"Ontario"	.4029644	1	65	0	1	"Somewhat important"	"MA+"
"R_27WjJqbtTnCo3Tb"	"Ontario"	1.381353		39	1		"Not important at all"	"College"
"R_27WjzNyg78YC8An"	"New Brunswick"	.358583	0	68	0	1	"Not very important"	"MA+"
"R_27WmzymJX8qnwE0"	"British Columbia"	1.841344		31	1			"Some PS"
"R_27Wsv7uICjw1sDk"	"Quebec"	.8959352	0	39	1	0	"Not very important"	"Some PS"
"R_27cXzUD6iPYRXmG"	"Ontario"	1.021052	0	59	1	0	"Not very important"	"College"
"R_27dLIhpbvSqUiIW"	"Saskatchewan"	1.892506	0	33	1			"College"
"R_27dQ3HpskFA7XPO"	"Ontario"	.6656307	0	44	1	1	"Somewhat important"	"MA+"
"R_27eE5PByKHRXWht"	"Quebec"	.4061206	0	58	0	1	"Not important at all"	"MA+"
"R_27ePxyzffk2roIv"	"Saskatchewan"	1.757765		87	0		"Very important"	"Some PS"
"R_27eWRyth7ftIlGN"	"Ontario"	3.571844	0	27	1	1		"HS"
"R_27edMkyoCxeXb7q"	"British Columbia"	.5382345	0	63	1	1	"Not important at all"	"MA+"
"R_27eqdJpPFnZZ2Gy"	"Ontario"	2.757445	1	60	0	1		"HS"
"R_27ewGjp3bzVxWun"	"Ontario"	.4920129	1	55	1	1	"Very important"	"BA"
"R_27fA7QytwkGwKzH"	"Quebec"	.2053677	1	68	1	0	"Very important"	"MA+"
"R_27fLyFoenDb8ks1"	"Quebec"	.6694947		23	0			"BA"
"R_27fM0crtuisRhs0"	"Quebec"	1.140206	0	41	0	1		"College"
"R_27fiWdzGBpA521s"	"Ontario"	.8110893		20	1			"Some PS"
"R_27fnfglMxmAQyGW"	"Quebec"	1.788458	1	57	0	0	"Somewhat important"	"HS"
"R_27gjF2yVeloyjbL"	"Alberta"	1.151093	1	66	1	0	"Somewhat important"	"HS"
"R_27gjcjF4j4RnuI5"	"Quebec"	.8428035	0	52	0	0	"Not very important"	"College"
"R_27gp5E2PoaBh0WY"	"Quebec"	.5260664	0	22	1	1		"Some PS"
"R_27iXRZ3gqEoBz4S"	"Quebec"	.6622466	1	51	1	1	"Very important"	"College"
"R_27iZ0sfyVqpeikF"	"Ontario"	.3306041		32				"MA+"
"R_27j1C9k2bsvZTyp"	"Alberta"	1.151093	1	71	1	0	"Not very important"	"HS"
"R_27j26SwaE2XWHSG"	"Quebec"	.4061206	0	63	0	1	"Not important at all"	"BA"
"R_27jRAd593iAcWsz"	"Quebec"	.3191158	0	52	1	1	"Not very important"	"BA"
"R_27jTJ1UXHCbeWjL"	"Quebec"	.6694947	0	33	0	1		"Some PS"
"R_27jswNK8Re1OPnI"	"British Columbia"	3.907397		21	1			"Less than HS"
"R_27jtI7om0jYyky0"	"British Columbia"	.8872862		33	1			"BA"
"R_27jtxssGfyrT8BB"	"Ontario"	.8110893	0	24	1	1		"MA+"
"R_27k7lxgdiRJ1kDb"	"Quebec"	1.150966	1	72	0	1	"Very important"	"HS"
"R_27kBD8WU1TURXUo"	"Alberta"	1.140332	0	36	1	1		"College"
"R_27kCbHKrFwKv8FC"	"Quebec"	.6622466	0	55	1	1		"College"
"R_27kDQ7QjXQPEpPj"	"Ontario"	.6261567	0	61	0	0	"Not very important"	"BA"
"R_27kbhDGBdSMFZRF"	"Ontario"	.6571001	1	78	1	1	"Somewhat important"	"College"
"R_27kbnkZoUE69NTO"	"Ontario"	.8110893	0	22	1	1		"Some PS"
"R_27kd7LDi3ltOGP7"	"British Columbia"	.5382345	0	60	1	0		"BA"
"R_27ktFOrENaWJo6a"	"Quebec"	2.419556		47	0			"HS"
"R_27kxcqKGa4QlH7V"	"Alberta"	.6993046		38	0		"Not important at all"	"MA+"
"R_27lD6RzIilpBpy5"	"Quebec"	.6694947	0	27	0	0		"MA+"
"R_27lEieZIZBqpyWP"	"Ontario"	.8110893	0	23	1	1	"Somewhat important"	"BA"
"R_27m04T8RFJ7XUtd"	"British Columbia"	1.116974	0	55	1	1		"Some PS"
"R_27mbXx2IBcYLe87"	"New Brunswick"	.5923199		36	1		"Very important"	"BA"
"R_27mys6COJRmuTnc"	"Ontario"	.8110893	0	23	1	1	"Not important at all"	"MA+"
"R_27p3Cmilpf2hu4l"	"British Columbia"	1.116974		56	1		"Very important"	"Some PS"
"R_27p3g4yJShF4eaG"	"Quebec"	1.788458		59	0		"Not important at all"	"HS"
"R_27p4vBclSHNHJUM"	"Quebec"	.5423879		68	0		"Not very important"	"College"
"R_27p6cSTJzcazrqL"	"Ontario"	.4029644	0	71	0	1		"MA+"
"R_27pLkaPeGX0Slnr"	"Quebec"	1.788458	0	64	0	1	"Not very important"	"HS"
"R_27qHUKfwStBWNHJ"	"Ontario"	.6656307	0	37	1	1	"Not important at all"	"BA"
"R_27qcNUhmxx1fvz5"	"Ontario"	1.021052		53	1		"Very important"	"Some PS"
"R_27qwhBHHNcD2CW4"	"Ontario"	.3166359	0	66	1	1	"Somewhat important"	"BA"
"R_27qxtMgB2IESKby"	"Ontario"	2.166708	0	52	1	1	"Somewhat important"	"HS"
"R_27rFKIjY12b0i8S"	"Quebec"	.4261902	0	69	1	1	"Somewhat important"	"Some PS"
"R_27rIzPPwNIqIVYl"	"Ontario"	.4029644	0	65	0	1	"Not important at all"	"BA"
"R_27rRriyyluwA63d"	"Ontario"	.8110893	1	29	1	1	"Very important"	"BA"
"R_27s1G3CgzfnJ0lE"	"Ontario"	.8362538	0	71	0	1		"College"
"R_27s3aNx4agcTQv2"	"Quebec"	1.389372		24	0			"Some PS"
"R_27s65iZDkou1zvQ"	"Ontario"	.4920129	0	54	1	1	"Somewhat important"	"BA"
"R_27sbKE0L4RHfGqY"	"Ontario"	.6261567	1	56	0	1	"Not important at all"	"BA"
"R_27vDUEchUmPkSbP"	"Ontario"	3.730472	0	49	0	0	"Very important"	"HS"
"R_27vE1nBbO1vVvnp"	"British Columbia"	.9266911	1	49	0	1	"Very important"	"BA"
"R_27vUJVU03YYn2kU"	"Ontario"	.4920129	1	56	1	1	"Very important"	"MA+"
"R_27vg2UI1mdBL71N"	"Alberta"	.3326543	1	73	0	1	"Very important"	"BA"
"R_27vrWzJdAS3IkoZ"	"British Columbia"	4.972722		18	0		"Somewhat important"	"HS"
"R_27wFAYek9l4dckH"	"Ontario"	.8110893		25	1			"BA"
"R_27wIC8fDmhGDWeU"	"Quebec"	1.091722		32	1		"Not very important"	"Some PS"
"R_27wKMKwha9v9FvC"	"Alberta"	2.27632		56	0		"Very important"	"HS"
"R_27waRWrrXfMJBCc"	"Alberta"	.6903424	1	72	0	1	"Somewhat important"	"Some PS"
"R_27x0klWdnWEpJuZ"	"British Columbia"	3.907397	0	33	1	0		"HS"
"R_27xSRNFJN8h5LlE"	"British Columbia"	.7188306	0	79	1	1	"Not important at all"	"Some PS"
"R_27xUfkeBUWsIcUO"	"Saskatchewan"	.9119394		34	1		"Not very important"	"BA"
"R_27yBNPXkYVtPMkb"	"Quebec"	.4317231	0	35	1	0		"BA"
"R_27yFlFlwdheKJwP"	"Quebec"	1.788458	0	59	0	1	"Very important"	"HS"
"R_28ANOWJauFz1Ezh"	"Ontario"	.8110893	0	20	1	1		"Some PS"
"R_28AlFD6nrKCh3My"	"Quebec"	.2144273		21				"Some PS"
"R_28AsfDqZkXgEwwE"	"Quebec"	2.316672		29	1		"Not important at all"	"Less than HS"
"R_28AtP8UDsUIYmOW"	"British Columbia"	.4408205	0	79	0	1	"Not important at all"	"BA"
"R_28B3FU0F5rGvPbR"	"Prince Edward Island"	.7947357	0	39	1	1	"Not very important"	"BA"
"R_28B5cRz7aGcQQvd"	"Quebec"	.3191158	0	52	1	1	"Not very important"	"Some PS"
"R_28BNnEmcwYiloYB"	"Manitoba"	.5189351	1	66	1	1	"Very important"	"College"
"R_28BQ2fE5ZqoMAG3"	"British Columbia"	.7188306	1	78	1	1	"Very important"	"College"
"R_28BS5n8ZCYixQnI"	"Alberta"	.4061654	0	64	1	1	"Very important"	"Some PS"
"R_28BUQkB9KtWxSN5"	"Newfoundland and Labrador"	5	0	30	0	0		"HS"
"R_28BfEPW3O3l83om"	"Quebec"	.3191158	1	55	1	1		"BA"
"R_28BsVhNfdGf2sHL"	"Ontario"	1.381353		43	1		"Not very important"	"College"
"R_28CDPBWW3WmxSfL"	"Ontario"	1.032227		24	0			"MA+"
"R_28CZHajwuOtrReG"	"Ontario"	.6261567		50	0		"Not very important"	"BA"
"R_28ClaloErQWTFwD"	"Newfoundland and Labrador"	2.12275	1	32	1	0	"Not very important"	"College"
"R_28D4J58SeCimIGq"	"Alberta"	.6695687	0	33	1	1	"Somewhat important"	"BA"
"R_28FBb7Y1noRj5Un"	"Saskatchewan"	1.995207	0	75	0	0	"Somewhat important"	"Less than HS"
"R_28GKrw7XKr4dL2j"	"Ontario"	.6656307		35	1			"BA"
"R_28GMDCdTRRtGkpo"	"Alberta"	.5169035	1	60	0	1	"Not very important"	"MA+"
"R_28GUM2MRvR0anoe"	"Ontario"	1.032227		33	0		"Not important at all"	"BA"
"R_28GxXO1CuGsAv7x"	"Quebec"	.8959352	0	38	1	0	"Not important at all"	"College"
"R_28H6o5xHKzCiMcn"	"Ontario"	.8110893		22	1			"Some PS"
"R_28H7QSSvzWWJNjB"	"British Columbia"	.8872862	0	34	1	1		"BA"
"R_28HURCJCxpwHFo3"	"Ontario"	1.032227	1	32	0	1	"Not important at all"	"BA"
"R_28HfypXDZgRdDhv"	"Manitoba"	.3885599	0	62	1	1		"BA"
"R_28HumUqXL55zk7z"	"Alberta"	.5424478		67	1		"Somewhat important"	"College"
"R_28HzQxW27Xpka0X"	"Saskatchewan"	.7040125	1	54	0	0	"Not very important"	"BA"
"R_28I0tZdXUPIIL1o"	"Quebec"	.2053677	0	70	1	1	"Not very important"	"MA+"
"R_28I261etkXDkNbb"	"Quebec"	.8428035	0	64	0	0	"Not important at all"	"Some PS"
"R_28IF5owjcRgBzab"	"British Columbia"	3.01649		60	0		"Somewhat important"	"Less than HS"
"R_28IGNMKGfzk0tmp"	"Ontario"	.4920129	0	62	1	0	"Somewhat important"	"Some PS"
"R_28IniRrtO6PPBrf"	"Alberta"	.3326543	1	66	0	1	"Very important"	"BA"
"R_28J1zTrViUIjEd7"	"Ontario"	1.299434	0	55	0	1		"Some PS"
"R_28J2HRCd27r9fQd"	"Ontario"	1.683217	0	23	1	1	"Somewhat important"	"College"
"R_28J2wmdBRNgU4Mz"	"Quebec"	.4261902	0	66	1	1	"Not very important"	"College"
"R_28JbxOEvt8WvPr5"	"Newfoundland and Labrador"	1.022887		29	1			"BA"
"R_28LDIhYHSU2qrId"	"Manitoba"	.6604191	1	65	0	1	"Somewhat important"	"College"
"R_28LHYutk7h0d5Du"	"Ontario"	.6656307	1	44	1	1	"Very important"	"BA"
"R_28LJBPV3Nsirvbu"	"British Columbia"	.7188306	0	79	1	1	"Somewhat important"	"College"
"R_28LK0H9JCW0eM0D"	"Ontario"	.8110893	0	32	1	1		"MA+"
"R_28LNVTJOmbenDPq"	"Manitoba"	.6405458		25	1			"Some PS"
"R_28LO09x3kkD9hF6"	"Quebec"	.5494294		42	0		"Not very important"	"Some PS"
"R_28Ma4Q6qZNZNkyX"	"Quebec"	.5423879	0	65	0	0	"Not very important"	"College"
"R_28MakKj60Lf5bJ3"	"British Columbia"	1.116974	0	60	1	1		"College"
"R_28Mo8WJVWwlxZfv"	"Ontario"	.6261567	0	55	0	1	"Somewhat important"	"BA"
"R_28MubxriG3nXJpo"	"Quebec"	.6694947	0	29	0	1	"Somewhat important"	"BA"
"R_28MuiEwAOk0qAP4"	"British Columbia"	3.01649	0	64	0	1	"Very important"	"HS"
"R_28Mwiv51GiCeYkq"	"Ontario"	1.683217		24	1		"Not important at all"	"College"
"R_28NUopc2EBoFeq2"	"Ontario"	1.394389	0	66	1	0	"Somewhat important"	"HS"
"R_28O0wrYsrkADXDl"	"Alberta"	.4061654	0	52	1	1		"Some PS"
"R_28O1CytOjzpfQ7Z"	"British Columbia"	1.129198		19	0		"Not important at all"	"Some PS"
"R_28OqT4wlzXkws9u"	"Quebec"	.5260664	0	30	1	0		"BA"
"R_28P5hqUo2QkwLvJ"	"Alberta"	1.788656	1	62	1	1	"Very important"	"Less than HS"
"R_28RFckPLdBRUBpD"	"Ontario"	.6261567	0	57	0	1		"BA"
"R_28RJAdf2dd7GIht"	"Ontario"	.8110893	0	28	1	1	"Somewhat important"	"BA"
"R_28S7eteL3HpUNec"	"British Columbia"	2.370257	0	54	1	1	"Somewhat important"	"HS"
"R_28SCK7zOq5YQK4Z"	"Ontario"	.6656307	0	40	1	1		"MA+"
"R_28Sb9pinUFfDAfT"	"British Columbia"	3.01649	0	50	0	1		"HS"
"R_28SpHyrv5Q7V2Ua"	"Quebec"	.6694947		27	0		"Not important at all"	"BA"
"R_28SpX7S4yUc2ayv"	"Nova Scotia"	.7693408	0	37	0	1		"BA"
"R_28TBm6JbGfeoYsm"	"Quebec"	.4061206	0	61	0	1	"Not very important"	"BA"
"R_28TX1WZ4mtYiQuY"	"Manitoba"	.3885599	0	53	1	1		"Some PS"
"R_28TYLxOyCQPEIyW"	"Quebec"	.5260664	0	25	1	1		"BA"
"R_28ThKw0Dn2pwQYS"	"British Columbia"	1.941269	0	74	0	1	"Not important at all"	"Less than HS"
"R_28U12qRbAuc6tBP"	"Quebec"	1.40531	0	61	1	0	"Not very important"	"HS"
"R_28UGnsubIgOgGyy"	"Manitoba"	.6604191	0	70	0	1		"College"
"R_28USlUlwZEifhXI"	"British Columbia"	1.841344	0	28	1	1		"College"
"R_28UiBVIr80SXFGc"	"British Columbia"	3.01649	0	63	0	0	"Somewhat important"	"HS"
"R_28UrOK6R9OATP5B"	"Newfoundland and Labrador"	.5081893	0	77	0	1	"Very important"	"Some PS"
"R_28UsRskU3Ez1dyp"	"Quebec"	.2613597	0	65	0	1		"Some PS"
"R_28XKW8DRKHhFRkH"	"Ontario"	.3166359	1	72	1	1	"Not very important"	"Some PS"
"R_28Y4NDeipS44BOg"	"Ontario"	.6656307	0	45	1	1	"Somewhat important"	"BA"
"R_28Y69JHTWRZEddm"	"Ontario"	.4029644	0	71	0	1	"Not very important"	"BA"
"R_28Y9VgU3iBv3U86"	"Ontario"	1.757969		43	0		"Not important at all"	"College"
"R_28YxdRtSYpCiHX5"	"Ontario"	1.021052	0	59	1	1	"Not important at all"	"Some PS"
"R_28ZCEICySnlPFjt"	"British Columbia"	.3463819	0	67	1	1	"Somewhat important"	"BA"
"R_28ZDidIaCZokquK"	"Saskatchewan"	.7040125		51	0		"Not important at all"	"BA"
"R_28ZIwdfXdrNQhRI"	"Quebec"	.6694947	0	29	0	1	"Not important at all"	"BA"
"R_28Zd8X6uLyo8AEL"	"Quebec"	.2613597	0	68	0	1	"Not important at all"	"BA"
"R_28ZhkYNY9NKV7H5"	"Alberta"	2.419823	1	37	1	0	"Not very important"	"HS"
"R_28ZmctXiC7maueL"	"Ontario"	.6656307		35	1		"Not very important"	"MA+"
"R_290KJAZSXwXu2zc"	"Quebec"	.8959352		41	1		"Not important at all"	"College"
"R_290Ut9kpOEP2nPn"	"British Columbia"	.9148147	0	71	0	0	"Not important at all"	"College"
"R_2917wWrkapBUVa8"	"Quebec"	.5260664		28	1			"MA+"
"R_2919hHL2t52o8Sk"	"Ontario"	1.021052		64	1		"Not very important"	"College"
"R_291cmKVc1HtDhWJ"	"Alberta"	.2613886	0	67	1	1		"BA"
"R_291jIinlxYg5C1w"	"Ontario"	.8362538	0	73	0	0	"Somewhat important"	"College"
"R_291jjqmi9mrhER0"	"New Brunswick"	.5923199	0	40	1	0		"MA+"
"R_293OFMOaKntWi5G"	"Ontario"	.6261567	0	53	0	1		"BA"
"R_293QteZHKdEy5sU"	"British Columbia"	1.841344	0	33	1	1		"College"
"R_293RC6HnqM4XeA8"	"Ontario"	1.381353		47	1		"Very important"	"College"
"R_293UMU8kMaDBBA4"	"British Columbia"	.7281626	1	37	1	1	"Very important"	"BA"
