respid	cps21_province	cps21_weight_general_restricted	ban_abortion	age	female	urban	religion	education
"R_0D3dArC2W4RY0Bb"	"Alberta"	.4061654	0	64	1	1		"Some PS"
"R_0DJQibh2enU6EZr"	"Quebec"	.4317231		40	1		"Somewhat important"	"BA"
"R_0DMLY39AJ8LWBmF"	"British Columbia"	.5382345	0	53	1	1	"Somewhat important"	"Some PS"
"R_0DmHJJmo8H8jMSl"	"British Columbia"	.3463819	1	75	1	1		"MA+"
"R_0DmjxfCFmKbHnah"	"Manitoba"	.6604191		69	0		"Somewhat important"	"College"
"R_0GMGzZSv0NKR4Ah"	"Ontario"	.4029644	1	76	0	1		"BA"
"R_0GqvCOqjzntCzkd"	"Ontario"	.8471103	0	36	0	1		"BA"
"R_0HAHlS51nD0SXfP"	"Quebec"	.6694947		29	0		"Not important at all"	"BA"
"R_0If1MFGyN5poD9T"	"Ontario"	2.549343		80	1		"Not very important"	"Some PS"
"R_0IhlEnlivJ4nkXL"	"Alberta"	1.464931		68	0		"Very important"	"Less than HS"
"R_0Imxbg7yDeK8H4J"	"Ontario"	.8110893		27	1		"Not important at all"	"BA"
"R_0ImxrJefn7Jhpmh"	"Ontario"	.8110893		28	1		"Not important at all"	"BA"
"R_0JJlmEcJvR6HCpz"	"Quebec"	.8959352		47	1			"College"
"R_0JVMoLM9aIMg5dT"	"Quebec"	.9043904		66	1			"HS"
"R_0Jp3CvrSnHYryHT"	"Alberta"	.5169035	0	56	0	1	"Not very important"	"MA+"
"R_0Jp7t0iur4kxgbf"	"Quebec"	1.140206	0	35	0	1	"Not very important"	"College"
"R_0JtjIHoh4di5s8V"	"Ontario"	1.683217		22	1		"Somewhat important"	"College"
"R_0Jts0ct68oZFffb"	"Quebec"	1.653484		82	1		"Somewhat important"	"College"
"R_0Jy5Ovv66fS7KsF"	"New Brunswick"	.9085959	0	52	1	0	"Somewhat important"	"College"
"R_0MPtQ9c4pQNA9Yl"	"Ontario"	2.142134		32	0		"Not important at all"	"Some PS"
"R_0MQAISLu28uN2r7"	"Alberta"	.5424478		68	1		"Very important"	"Some PS"
"R_0MQJLzA3A4FoAgN"	"Ontario"	.4029644	1	77	0	1		"BA"
"R_0MQU8eze9bGwpmV"	"Ontario"	.4920129	0	64	1	1	"Not very important"	"BA"
"R_0Mq7WaBK96t7RTP"	"British Columbia"	.9148147	0	66	0	0	"Not important at all"	"Some PS"
"R_0MqeSVVybeBmJl7"	"Manitoba"	.3885599	0	52	1	1	"Somewhat important"	"BA"
"R_0Mt1S6qP49U1ohr"	"Alberta"	.8428965	0	60	1	1	"Not very important"	"College"
"R_0NAeZNXm3jZG6Pv"	"Quebec"	.4061206	0	60	0	1	"Not important at all"	"MA+"
"R_0NDAIysZfBL4OC5"	"British Columbia"	.7188306	0	73	1	1	"Not very important"	"College"
"R_0NDe1deHjvYCwsV"	"Quebec"	.4061206	1	61	0	1	"Not important at all"	"MA+"
"R_0NG3d6Uawy5UZG1"	"Ontario"	3.571844	0	18	1	0		"HS"
"R_0Nb3niHKhFZmekx"	"Ontario"	.3166359	0	79	1	1	"Somewhat important"	"BA"
"R_0Nb9tk1UgQLqUgh"	"British Columbia"	.9148147	0	72	0	1	"Not very important"	"College"
"R_0NeErrsbuW2yYQp"	"Ontario"	.8471103		43	0		"Somewhat important"	"BA"
"R_0Nu1bb4xuJxiky5"	"Quebec"	1.150966	0	66	0	0	"Not very important"	"HS"
"R_0O2cJwRDo7878uB"	"New Brunswick"	2.453748	0	63	0	0	"Not very important"	"Less than HS"
"R_0O4LV5In90pNFgB"	"British Columbia"	1.511123	1	41	1	0	"Very important"	"Some PS"
"R_0OGOGV1dE3Aafh7"	"New Brunswick"	1.564351	0	38	0	0		"Some PS"
"R_0OI6WpR9qLoJKXT"	"Ontario"	1.021052	1	58	1	1	"Very important"	"Some PS"
"R_0OPDlKaTex6kA5b"	"Quebec"	1.150966	0	67	0	1	"Not very important"	"HS"
"R_0OPUlr65a9XhnRT"	"Quebec"	2.948296	0	34	0	1	"Somewhat important"	"HS"
"R_0P1MjthSzTxLqDv"	"Ontario"	.8110893	0	29	1	0	"Not very important"	"BA"
